web-scraper-order,web-scraper-start-url,text_raw,price_raw,model_raw,type_year_km_transmission_fuel
1705078013-36,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=96","BMW X4 X4 M40i SteptronicCHF 51'900ab CHF 831 / Monat4.5 / 6Occasion05.201962.830 kmAutomatBenzin5702 (AG)PreisCHF 51'900Finanzierungab CHF 831 / Monat4.5 / 6Anfragen MerkenDetails","CHF 51'900","X4 M40i Steptronic","Occasion05.201962.830 kmAutomatBenzin5702 (AG)"
1705078013-37,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=96","BMW X5 X5 xDrive 40d Pure M Sport SteptronicCHF 40'900ab CHF 655 / Monat4.5 / 6Occasion09.2018113.000 kmAutomatDiesel4512 (SO)PreisCHF 40'900Finanzierungab CHF 655 / Monat4.5 / 6Anfragen MerkenDetails","CHF 40'900","X5 xDrive 40d Pure M Sport Steptronic","Occasion09.2018113.000 kmAutomatDiesel4512 (SO)"
1705078013-38,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=96","BMW X1 X1 xDrive 18d Sport Line SteptronicCHF 11'500ab CHF 184 / Monat5 / 6Occasion12.2015148.000 kmAutomatDiesel6991 (TI)PreisCHF 11'500Finanzierungab CHF 184 / Monat5 / 6Anfragen MerkenDetails","CHF 11'500","X1 xDrive 18d Sport Line Steptronic","Occasion12.2015148.000 kmAutomatDiesel6991 (TI)"
1705078013-39,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=96","BMW 535 535i xDrive SteptronicCHF 27'900ab CHF 447 / Monat5.5 / 6Occasion04.201431.000 kmAutomatBenzin1303 (VD)PreisCHF 27'900Finanzierungab CHF 447 / Monat5.5 / 6Anfragen MerkenDetails","CHF 27'900","535i xDrive Steptronic","Occasion04.201431.000 kmAutomatBenzin1303 (VD)"
1705078013-40,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=96","BMW 220 220i Luxury Line SteptronicCHF 21'500ab CHF 344 / Monat4.5 / 6Occasion03.201789.000 kmAutomatBenzin5032 (AG)PreisCHF 21'500Finanzierungab CHF 344 / Monat4.5 / 6Anfragen MerkenDetails","CHF 21'500","220i Luxury Line Steptronic","Occasion03.201789.000 kmAutomatBenzin5032 (AG)"
1705078016-41,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=95","BMW X3 X3 xDrive M40i SteptronicCHF 34'500ab CHF 552 / Monat4.5 / 6Occasion05.2018137.800 kmAutomatBenzin9434 (SG)PreisCHF 34'500Finanzierungab CHF 552 / Monat4.5 / 6Anfragen MerkenDetails","CHF 34'500","X3 xDrive M40i Steptronic","Occasion05.2018137.800 kmAutomatBenzin9434 (SG)"
1705078016-42,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=95","BMW 340 340i xDrive Touring M Sport SteptronicCHF 33'900ab CHF 543 / Monat3.5 / 6Occasion09.201594.000 kmAutomatBenzin1616 (FR)PreisCHF 33'900Finanzierungab CHF 543 / Monat3.5 / 6Anfragen MerkenDetails","CHF 33'900","340i xDrive Touring M Sport Steptronic","Occasion09.201594.000 kmAutomatBenzin1616 (FR)"
1705078016-43,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=95","BMW 420 420d Gran Coupé xDrive M Sport SteptronicCHF 19'500ab CHF 312 / Monat4.5 / 6Occasion04.2016161.500 kmAutomatDiesel6438 (SZ)PreisCHF 19'500Finanzierungab CHF 312 / Monat4.5 / 6Anfragen MerkenDetails","CHF 19'500","420d Gran Coupé xDrive M Sport Steptronic","Occasion04.2016161.500 kmAutomatDiesel6438 (SZ)"
1705078016-44,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=95","BMW 530 530d Touring xDrive Luxury Line SteptronicCHF 16'500ab CHF 264 / Monat5 / 6Occasion09.2014186.000 kmAutomatDiesel9450 (SG)PreisCHF 16'500Finanzierungab CHF 264 / Monat5 / 6Anfragen MerkenDetails","CHF 16'500","530d Touring xDrive Luxury Line Steptronic","Occasion09.2014186.000 kmAutomatDiesel9450 (SG)"
1705078016-45,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=95","BMW 335 335i Cabriolet SteptronicCHF 7'000ab CHF 112 / Monat6 / 6Occasion03.2007175.000 kmAutomatBenzin5445 (AG)PreisCHF 7'000Finanzierungab CHF 112 / Monat6 / 6Anfragen MerkenDetails","CHF 7'000","335i Cabriolet Steptronic","Occasion03.2007175.000 kmAutomatBenzin5445 (AG)"
1705078016-46,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=95","BMW 330 330i Touring xDrive Steptronic M SportCHF 35'000ab CHF 560 / Monat4.5 / 6Occasion11.201990.947 kmAutomatBenzin6430 (SZ)PreisCHF 35'000Finanzierungab CHF 560 / Monat4.5 / 6Anfragen MerkenDetails","CHF 35'000","330i Touring xDrive Steptronic M Sport","Occasion11.201990.947 kmAutomatBenzin6430 (SZ)"
