web-scraper-order,model_raw,Location,PLZ,Year,price,km,luxury,competition,xDrive,automat,km_cat,km_per_year,lat,lon
1705078071-190,320d Steptronic,ZH,8604,2016,12900,227553.0,0,0,0,1,120k+,28444.12,47.39078140258789,8.661730766296387
1705078074-191,X5 xDrive45e M Sport Steptronic,SG,8645,2023,94800,2400.0,0,0,1,1,0-50k,2400.0,47.23775863647461,8.809554100036621
1705078074-192,120d xDrive Steptronic Pure M Sport,SG,8645,2020,34900,34900.0,0,0,1,1,0-50k,8725.0,47.23775863647461,8.809554100036621
1705078074-193,330e x DriveTouring M Sport Steptronic,SG,8645,2020,39800,77999.0,0,0,0,1,50-120k,19499.75,47.23775863647461,8.809554100036621
1705078074-194,X3 xDrive 20d Individual M Sport Steptronic,SG,8645,2019,36900,63500.0,0,0,1,1,50-120k,12700.0,47.23775863647461,8.809554100036621
1705078074-195,X1 xDrive 20d Sport Line,FR,3185,2013,11950,119000.0,0,0,1,0,50-120k,10818.18,46.845802307128906,7.2523956298828125
1705078074-196,M240i xDrive Steptronic,ZH,8424,2018,31800,81300.0,0,0,1,1,50-120k,13550.0,47.50142288208008,8.599289894104004
1705078074-197,X1 xDrive 20d Steptronic,BE,3715,2014,13900,185000.0,0,0,1,1,120k+,18500.0,46.625038146972656,9.392573356628418
1705078074-198,535d GT xDrive Steptronic,SG,9434,2013,24900,91000.0,0,0,1,1,50-120k,8272.73,47.43368148803711,9.634199142456055
1705078074-199,M340i xDrive 48V Touring Steptronic,ZH,6340,2020,52900,41400.0,0,0,1,1,0-50k,10350.0,47.179317474365234,8.530610084533691
1705078074-200,X2 xDrive 18d Steptronic,ZH,8352,2020,25500,45000.0,0,0,1,1,0-50k,11250.0,47.5051383972168,8.80135440826416
1705078078-201,218d Active Tourer Steptronic,SO,2540,2016,12900,153000.0,0,0,0,1,120k+,19125.0,47.20136260986328,7.386629104614258
1705078078-202,216d Active Tourer,SO,2540,2018,15800,100000.0,0,0,0,0,50-120k,16666.67,47.20136260986328,7.386629104614258
1705078078-203,M2 Steptronic,TG,8580,2023,66800,13300.0,0,0,0,1,0-50k,13300.0,47.54876708984375,9.304634094238281
1705078078-204,M240i xDrive Steptronic,ZH,8542,2016,36900,11500.0,0,0,1,1,0-50k,1437.5,47.521392822265625,8.794527053833008
1705078078-205,120d xDrive Steptronic M Sport,SG,9466,2020,23998,138000.0,0,0,1,1,120k+,34500.0,47.260658264160156,9.524354934692383
1705078078-206,M3 Competition Drivelogic,SG,8645,2018,86500,32000.0,0,1,0,1,0-50k,5333.33,47.23775863647461,8.809554100036621
1705078078-207,528i,ZH,8713,1999,25000,186000.0,0,0,0,1,120k+,7440.0,47.23807907104492,8.755441665649414
1705078078-208,540i xDrive Steptronic,ZH,8107,2017,36900,120500.0,0,0,1,1,120k+,17214.29,47.45336151123047,8.42252254486084
1705078078-209,340i xDrive Power & Sound Edition Steptronic,ZH,8607,2017,39000,99000.0,0,0,1,1,50-120k,14142.86,47.334693908691406,8.77121639251709
1705078078-210,M2 Competition Drivelogic,AG,5036,2019,64900,35000.0,0,1,0,1,0-50k,7000.0,47.34987258911133,8.038203239440918
1705078081-211,530xi Touring,VD,1070,2005,1900,280000.0,0,0,0,1,120k+,14736.84,46.487098693847656,6.76160192489624
1705078081-212,530d xDrive Touring Steptronic,ZH,8153,2012,15990,180000.0,0,0,1,1,120k+,15000.0,47.4549560546875,8.524186134338379
1705078081-213,320d xDrive Steptronic,ZH,8424,2011,13490,90300.0,0,0,1,1,50-120k,6946.15,47.50142288208008,8.599289894104004
1705078081-214,116d Steptronic,SO,2540,2016,17900,48000.0,0,0,0,1,0-50k,6000.0,47.20136260986328,7.386629104614258
1705078081-215,M6 Gran Coupé Drivelogic,FL,9494,2016,61920,116500.0,0,0,0,1,50-120k,14562.5,,
1705078081-216,216d Active Tourer DKG,SO,2540,2018,21900,22000.0,0,0,0,1,0-50k,3666.67,47.20136260986328,7.386629104614258
