,web-scraper-order,model_raw,Location,PLZ,Year,price,km,km_per_year
682,1705078351-683,X5 xDrive 40i xLine Steptronic,AG,5702,2020,69900,53900.0,13475.0
683,1705078351-684,X3 xDrive M40i Steptronic,AG,5702,2021,57900,51100.0,17033.33
685,1705078351-686,220d xDrive M Sport Steptronic,VD,1530,2017,24900,90000.0,12857.14
686,1705078351-687,530d xDrive Touring Steptronic,GR,7745,2019,34500,117000.0,23400.0
687,1705078351-688,i3 (94Ah),VD,1306,2016,16500,78000.0,9750.0
688,1705078351-689,X5 xDrive Sport 30d (3.0d) Steptronic,AG,5644,2008,6300,380000.0,23750.0
689,1705078351-690,X3 xDrive 20d Steptronic,FR,3178,2012,16900,151000.0,12583.33
690,1705078356-691,320d 48V Touring Steptronic M Sport,ZH,8051,2023,44500,8100.0,8100.0
691,1705078356-692,X5M Competition Steptronic Competition,BL,4132,2020,109000,57800.0,14450.0
692,1705078356-693,M340d xDrive 48V Touring Steptronic,LU,6208,2023,76900,17000.0,17000.0
693,1705078356-694,X4 xDrive M40d Steptronic,VS,1950,2020,56360,77700.0,19425.0
694,1705078356-695,230i M Sport,BL,4132,2022,52900,11000.0,5500.0
695,1705078356-696,M340d xDrive 48V Touring Steptronic Sport,ZH,8051,2022,54500,13300.0,6650.0
696,1705078356-697,M5 Drivelogic,ZH,8143,2015,54900,96900.0,10766.67
697,1705078356-698,330d xDrive 48V Touring Steptronic M Sport,ZH,8051,2023,52800,7100.0,7100.0
698,1705078356-699,640i Gran Coupé xDrive,FR,3178,2013,34950,117000.0,10636.36
699,1705078356-700,740Le xDrive iPerformance Steptronic,ZH,8051,2016,39900,41900.0,5237.5
700,1705078362-701,523i,TI,6528,1998,1500,220000.0,8461.54
701,1705078362-702,320d xDrive Touring M Sport Steptronic,UR,6467,2020,38900,54900.0,13725.0
702,1705078362-703,M3 Coupé,BL,4123,2005,31900,220000.0,11578.95
703,1705078362-704,X1 xDrive 23d Steptronic,LU,6030,2010,5499,260000.0,18571.43
704,1705078362-705,M2 Competition Drivelogic,GE,1242,2019,55900,69000.0,13800.0
705,1705078362-706,X3 xDrive 20d,JU,2853,2012,8500,136000.0,11333.33
706,1705078362-707,M3 Competition,VS,1994,2018,66800,80000.0,13333.33
707,1705078362-708,218d xDrive Active Tourer,BE,3052,2016,11890,145000.0,18125.0
708,1705078362-709,328i,BS,4056,1998,10500,110000.0,4230.77
709,1705078362-710,X5 3.0i,LU,4806,2003,2999,274000.0,13047.62
710,1705078367-711,120d xDrive M Sport Steptronic,SZ,6417,2015,18500,135500.0,15055.56
711,1705078367-712,X6 xDrive 50i Steptronic,ZH,8108,2016,46900,71000.0,8875.0
712,1705078367-713,X5 xDrive 40d Steptronic,AG,4665,2011,11990,248000.0,19076.92
713,1705078367-714,X3 xDrive 48V 20d Steptronic,ZH,8051,2023,51500,12100.0,12100.0
714,1705078367-715,X2 M35i Steptronic,ZH,8192,2019,32500,74973.0,14994.6
715,1705078367-716,X1 xDrive 25d Steptronic,BL,4414,2017,30900,54000.0,7714.29
716,1705078367-717,X1 xDrive 25d Steptronic,BL,4402,2017,30900,54000.0,7714.29
718,1705078367-719,M240i xDrive Steptronic,SG,9242,2019,32900,70000.0,14000.0
719,1705078367-720,120i Edition Sport Line,LU,6022,2018,15900,135000.0,22500.0
720,1705078373-721,225xe iPerformance Active Tourer M Sport Aut.,ZH,8404,2017,19900,66999.0,9571.29
721,1705078373-722,X2 xDrive 20d Steptronic,SG,9606,2020,30990,32000.0,8000.0
722,1705078373-723,X1 xDrive 18d xLine Steptronic,VD,1030,2020,29000,70800.0,17700.0
723,1705078373-724,M440i xDrive 48V Coupé Steptronic,VD,1030,2022,60000,21500.0,10750.0
724,1705078373-725,X1 xDrive 18d,SO,4614,2021,27800,63800.0,21266.67
728,1705078373-729,218d Active Tourer M Sport DKG,TI,6500,2023,58500,8900.0,8900.0
729,1705078373-730,116i,AG,4303,2007,3900,164000.0,9647.06
730,1705078377-731,X1 xDrive 25e M Sport Steptronic,ZH,8952,2020,35500,31300.0,7825.0
731,1705078377-732,X4 xDrive 20i M Sport X Steptronic,ZH,8952,2018,42500,26100.0,4350.0
732,1705078377-733,320d Advantage,ZH,8050,2004,3000,298500.0,14925.0
733,1705078377-734,650i Gran Coupé xDrive,AG,5330,2013,22500,179300.0,16300.0
734,1705078377-735,i8 Coupé,VS,1994,2017,54900,114000.0,16285.71
735,1705078377-736,M240i xDrive Steptronic,ZH,8404,2020,37900,54999.0,13749.75
736,1705078377-737,X2 xDrive 18d M Sport,VD,1030,2019,25000,69200.0,13840.0
737,1705078377-738,i3s (120Ah) Fleet Edition,ZH,8404,2022,33900,28999.0,14499.5
738,1705078377-739,X1 xDrive 30e M Sport,SH,8207,2023,58900,14999.0,14999.0
739,1705078377-740,X2 M35i Steptronic,ZH,8404,2021,42900,24999.0,8333.0
740,1705078384-741,120d xDrive Steptronic M Sport,SZ,8840,2022,34800,28500.0,14250.0
741,1705078384-742,120d xDrive Edition M Sport Steptronic,ZH,8400,2019,23990,93500.0,18700.0
742,1705078384-743,116i,ZH,8952,2009,2200,179848.0,11989.87
743,1705078384-744,525d xDrive Touring Steptronic,BE,4538,2012,11991,182000.0,15166.67
744,1705078384-745,520d Steptronic,ZH,8105,2013,11950,162000.0,14727.27
745,1705078384-746,540i xDrive Steptronic,SG,9308,2017,38500,120500.0,17214.29
746,1705078384-747,320i,GE,1217,2006,4900,128000.0,7111.11
747,1705078384-748,X5 xDrive 50i Steptronic,TG,9517,2012,12800,98000.0,8166.67
748,1705078384-749,520i Touring,SZ,6414,2009,3500,152000.0,10133.33
749,1705078384-750,116i Sport Line Steptronic,ZH,8107,2014,5999,248100.0,24810.0
750,1705078389-751,X1 xDrive 18d Sport Line Fleet Edition Steptronic,FR,1726,2021,33900,35000.0,11666.67
751,1705078389-752,iX3 Impressive,ZH,8134,2022,56900,30900.0,15450.0
752,1705078389-753,iX3 Inspiring,LU,6208,2022,59900,9000.0,4500.0
757,1705078389-758,i4 M50,ZH,8134,2022,67900,32900.0,16450.0
758,1705078389-759,i3s (120Ah),BL,4107,2022,29990,11250.0,5625.0
759,1705078389-760,118i Steptronic M Sport,ZH,8712,2019,28500,68100.0,13620.0
760,1705078395-761,iX1 xDrive 30 xLine,VD,1030,2023,56000,12900.0,12900.0
761,1705078395-762,118i Steptronic Essential Edition,SH,8207,2019,21900,52999.0,10599.8
762,1705078395-763,X2 xDrive 25e M Sport Steptronic,SH,8207,2021,39900,4999.0,1666.33
763,1705078395-764,730d xDrive Steptronic,AG,5432,2019,54900,52000.0,10400.0
764,1705078395-765,X6 xDrive 50i Steptronic,BE,3661,2009,12900,172300.0,11486.67
765,1705078395-766,335i x-Drive Steptronic,ZH,8184,2009,10900,161546.0,10769.73
766,1705078395-767,320d xDrive 48V Touring Sport Line Steptronic,SH,8207,2022,32900,77999.0,38999.5
767,1705078395-768,M850i xDrive Steptronic,LU,6010,2022,99900,16500.0,8250.0
768,1705078395-769,320d xDrive Touring Edition M Sport Steptronic,GE,1214,2019,29700,53700.0,10740.0
770,1705078401-771,M4 Coupé Competition,VS,1994,2021,74900,73000.0,24333.33
771,1705078401-772,M2 Steptronic,GE,1214,2023,95000,2500.0,2500.0
772,1705078401-773,320d Touring,LU,6030,2010,4900,225300.0,16092.86
773,1705078401-774,X3 xDrive 20d (2.0d),SO,5012,2007,3900,285776.0,16810.35
774,1705078401-775,X5 4.4i,SG,9205,2000,2490,242170.0,10090.42
775,1705078401-776,M135i,ZH,8340,2015,17800,152500.0,16944.44
776,1705078401-777,iX1 xDrive 30 M Sport,SO,4624,2023,65000,1000.0,1000.0
777,1705078401-778,320d xDrive Touring Sport Line Steptronic,BL,4434,2016,11900,202000.0,25250.0
778,1705078401-779,X3 xDrive 20d Steptronic,VD,1028,2014,13900,177000.0,17700.0
779,1705078401-780,X1 xDrive 18d Steptronic,SZ,8841,2014,12800,177685.0,17768.5
780,1705078405-781,X5 xDrive 50i Steptronic,VS,3930,2011,16500,99500.0,7653.85
781,1705078405-782,M550d xDrive Touring Steptronic,SG,7323,2019,53900,56000.0,11200.0
782,1705078405-783,X3 xDrive M40i Steptronic,SG,7323,2019,45900,68000.0,13600.0
784,1705078405-785,X7 xDrive 48V 40d Steptronic,FR,1726,2021,79900,45500.0,15166.67
785,1705078405-786,M3 Touring xDrive Competition M,SG,9430,2023,107900,10800.0,10800.0
786,1705078405-787,320d GT xDrive M Sport Steptronic,TI,6933,2019,24900,127000.0,25400.0
787,1705078405-788,330i xDrive Coupé,VD,1024,2007,7900,181000.0,10647.06
788,1705078405-789,335i xDrive Sport Line Steptronic,BL,4222,2013,20299,153000.0,13909.09
789,1705078405-790,M5,VD,1000,2006,54500,48300.0,2683.33
792,1705078412-793,X5 xDrive 30d Steptronic,ZH,8400,2015,34900,143000.0,15888.89
793,1705078412-794,X5 xDrive 25d Steptronic,SO,4614,2018,44700,42900.0,7150.0
794,1705078412-795,X3 xDrive M Steptronic,ZH,8051,2023,79500,5700.0,5700.0
795,1705078412-796,M340i xDrive 48V Touring Steptronic,ZH,8706,2021,62800,23500.0,7833.33
797,1705078412-798,X5M Competition Steptronic Competition,FR,1726,2022,121900,31000.0,15500.0
798,1705078412-799,X5 xDrive 30d Steptronic,SO,4658,2016,28900,162000.0,20250.0
799,1705078412-800,ActiveHybrid 5 Steptronic,ZH,8404,2012,10500,188000.0,15666.67
801,1705078418-802,120d xDrive Steptronic M Sport,VD,1030,2022,37000,22100.0,11050.0
802,1705078418-803,X1 xDrive 20d Steptronic,GE,1214,2017,18900,112980.0,16140.0
807,1705078418-808,X3 xDrive M Steptronic,SG,8645,2023,104900,6500.0,6500.0
808,1705078418-809,X3 xDrive 20d (2.0d) Steptronic,ZG,6331,2010,11500,165750.0,11839.29
809,1705078418-810,X7 xDrive 48V 40d Steptronic,ZH,8305,2021,81900,35100.0,11700.0
810,1705078423-811,X3 xDrive 20d Individual Steptronic,SO,2540,2019,24900,177000.0,35400.0
811,1705078423-812,850i A,SG,9524,1990,49800,48050.0,1413.24
812,1705078423-813,320d Touring Steptronic,SG,9543,2011,7900,149900.0,11530.77
813,1705078423-814,X1 xDrive 18d Steptronic,BE,3250,2019,18500,121000.0,24200.0
814,1705078423-815,525d Touring xDrive Steptronic,TG,9532,2013,11900,165000.0,15000.0
815,1705078423-816,218d xDrive Gran Tourer Steptronic,LU,6244,2020,22900,59000.0,14750.0
816,1705078423-817,530d xDrive 48V Touring Pure M Sport Steptronic,VD,1030,2023,62000,23193.0,23193.0
817,1705078423-818,X1 xDrive 20d 48V M Sport,LU,6244,2023,56900,7500.0,7500.0
818,1705078423-819,X3 xDrive 20d Steptronic,VS,3900,2014,18900,137100.0,13710.0
819,1705078423-820,X3 xDrive 20d Individual M Sport Steptronic,ZH,8051,2019,43900,37100.0,7420.0
820,1705078430-821,320d xDrive 48V Touring M Sport Steptronic,LU,6244,2021,42900,43000.0,14333.33
821,1705078430-822,M2 CS,FR,1772,2021,81900,11500.0,3833.33
822,1705078430-823,X1 xDrive 18d Steptronic,BE,3250,2019,16900,159000.0,31800.0
823,1705078430-824,118d,AG,5412,2011,3900,209000.0,16076.92
824,1705078430-825,X7 xDrive M50d Steptronic,FR,1630,2020,74900,96000.0,24000.0
825,1705078430-826,M2 Steptronic,SG,9430,2023,73500,4150.0,4150.0
826,1705078430-827,125i Coupé Steptronic,BE,3250,2010,13500,48000.0,3428.57
827,1705078430-828,i3 (120Ah),SO,4658,2019,18500,89700.0,17940.0
828,1705078430-829,325xi Touring,SZ,6440,2002,5888,250000.0,11363.64
829,1705078430-830,530d Touring xDrive Luxury Line Steptronic,BS,4053,2015,14990,200000.0,22222.22
830,1705078437-831,Z4 sDrive23i,ZH,8424,2011,15990,159600.0,12276.92
831,1705078437-832,218d xDrive Gran Tourer Steptronic,LU,6280,2019,13900,129500.0,25900.0
832,1705078437-833,320d Steptronic,ZH,8117,2015,18500,127000.0,14111.11
833,1705078437-834,Z4 M Coupé,VS,3967,2006,54000,74485.0,4138.06
834,1705078437-835,X3 xDrive 30i Steptronic,ZH,8048,2020,46800,29500.0,7375.0
835,1705078437-836,320d xDrive Touring M Sport Steptronic,ZH,6340,2020,32900,80500.0,20125.0
836,1705078437-837,M4 Coupé Competition M xDrive,BE,3123,2022,89600,2000.0,1000.0
837,1705078437-838,X3 xDrive 30d xLine Steptronic,VS,1895,2017,26900,121300.0,17328.57
838,1705078437-839,X6 xDrive 48V 40i M Sport Steptronic,VS,1895,2022,86900,12400.0,6200.0
839,1705078437-840,120d xDrive,ZH,8620,2014,13900,136500.0,13650.0
840,1705078443-841,Z4 3.0si Coupé,ZH,8153,2007,18900,144991.0,8528.88
841,1705078443-842,325xi Steptronic,LU,6280,2008,3600,240000.0,15000.0
842,1705078443-843,220d xDrive Active Tourer Sport Line Steptronic,SO,4574,2017,16900,112500.0,16071.43
843,1705078443-844,320d xDrive Touring Steptronic Fleet Edition,SO,4622,2020,19500,163000.0,40750.0
844,1705078443-845,X3 xDrive 20d Luxury Line Steptronic,SO,2540,2018,25900,140000.0,23333.33
845,1705078443-846,X5 xDrive 25d Steptronic,SO,2540,2018,25900,241000.0,40166.67
846,1705078443-847,X5 xDrive 30d Steptronic,SO,2540,2015,33900,132000.0,14666.67
847,1705078443-848,X3 xDrive 20d Individual xLine Steptronic,SO,2540,2018,24900,133000.0,22166.67
848,1705078443-849,X1 xDrive 25e Steptronic,VS,1957,2020,22900,99850.0,24962.5
849,1705078443-850,X1 xDrive 20i Steptronic,LU,6280,2018,15900,145900.0,24316.67
850,1705078447-851,X5 xDrive 30d Steptronic,SO,2540,2015,33900,132000.0,14666.67
851,1705078447-852,X5 xDrive 25d Steptronic,SO,2540,2018,25900,241000.0,40166.67
852,1705078447-853,M550d xDrive Touring Steptronic,SG,7320,2019,53900,56000.0,11200.0
853,1705078447-854,M5 xDrive Competition Drivelogic,ZH,8302,2020,85800,58000.0,14500.0
854,1705078447-855,X1 xDrive 20d,VD,1305,2013,8600,197000.0,17909.09
855,1705078447-856,X5 xDrive 30d Steptronic,SO,2540,2014,29500,152000.0,15200.0
856,1705078447-857,X5 xDrive 30d Steptronic,VD,1580,2011,19780,125000.0,9615.38
857,1705078447-858,320i Cabriolet,VD,1580,2010,14900,100000.0,7142.86
858,1705078447-859,525d xDrive Touring Steptronic,ZH,8317,2012,7999,195000.0,16250.0
859,1705078447-860,320d xDrive 48V Touring Steptronic M Sport Pro,SG,9036,2023,68690,5350.0,5350.0
860,1705078453-861,X3 xDrive 35d Steptronic,VS,3930,2013,16500,232500.0,21136.36
862,1705078453-863,X3 xDrive 20d,AG,5242,2014,13900,128847.0,12884.7
863,1705078453-864,X3 M40i,ZH,8051,2023,79500,5700.0,5700.0
864,1705078453-865,X3 xDrive 20d,VS,3900,2014,18900,137100.0,13710.0
865,1705078453-866,X1 xDrive 23d 48V,BE,2504,2023,48800,26000.0,26000.0
866,1705078453-867,318d AccessPlus Steptronic,TG,8587,2009,4800,201000.0,13400.0
867,1705078453-868,X5 xDrive 35d (3.0sd) Steptronic,VD,1530,2009,8500,285000.0,19000.0
868,1705078453-869,525d xDrive Touring Steptronic,BE,4538,2012,12900,182000.0,15166.67
869,1705078453-870,X1 xDrive 18d M Sport Steptronic,ZH,8181,2017,19500,115950.0,16564.29
870,1705078459-871,120i Steptronic,FR,1680,2017,23600,28000.0,4000.0
871,1705078459-872,640i GT xDrive Steptronic,BE,3376,2018,41500,78000.0,13000.0
872,1705078459-873,X3 xDrive 35d Steptronic,VS,3930,2013,16500,232500.0,21136.36
873,1705078459-874,X5 xDrive 30d Steptronic,SO,2540,2014,29500,152000.0,15200.0
876,1705078459-877,330d xDrive Touring Steptronic M Sport,BE,3172,2020,36900,106000.0,26500.0
877,1705078459-878,X1 xDrive 20d M Sport Steptronic,SZ,8834,2018,23900,96500.0,16083.33
878,1705078459-879,X5 xDrive 30d Steptronic,GE,1205,2012,20000,111000.0,9250.0
879,1705078459-880,X5 xDrive 25d Steptronic,SO,5013,2018,44700,42900.0,7150.0
880,1705078466-881,118i Steptronic,BL,4104,2016,13900,108000.0,13500.0
881,1705078466-882,520d xDrive 48V Touring Steptronic,AG,5000,2023,57800,24200.0,24200.0
882,1705078466-883,M3 Competition M xDrive,UR,6467,2022,92833,15500.0,7750.0
883,1705078466-884,i3s (120Ah) Fleet Edition,AG,5432,2020,24900,74000.0,18500.0
886,1705078466-887,318d,AG,5330,2013,14899,97000.0,8818.18
888,1705078466-889,X5 xDrive 48V 30d M Sport Steptronic,AG,5702,2022,74900,53962.0,26981.0
889,1705078466-890,X5 xDrive 30d Steptronic,ZH,8620,2019,63900,77300.0,15460.0
890,1705078470-891,X5 xDrive 40i Steptronic,GL,8750,2019,49900,134000.0,26800.0
891,1705078470-892,330xi,GR,7000,2001,16900,93000.0,4043.48
892,1705078470-893,520d xDrive 48V Touring Steptronic,BE,3645,2020,44900,58950.0,14737.5
893,1705078470-894,320i Touring Steptronic,ZH,8404,2011,7900,163000.0,12538.46
894,1705078470-895,X1 xDrive 25e M Sport Steptronic,FR,1712,2022,39900,20900.0,10450.0
895,1705078470-896,X6 xDrive 40d Steptronic,BE,3007,2011,16990,240500.0,18500.0
896,1705078470-897,320d xDrive Touring M Sport Line Steptronic,ZH,8405,2015,18900,167000.0,18555.56
897,1705078470-898,X3 xDrive 35d (3.0sd) Steptronic,BE,3627,2007,12900,203000.0,11941.18
898,1705078470-899,325i xDrive Touring more4you,SG,9469,2009,6900,147300.0,9820.0
899,1705078470-900,M5 xDrive  Competition Drivelogic,TG,8500,2022,129900,3950.0,1975.0
900,1705078477-901,X1 xDrive 18d,NE,2105,2019,20900,131313.0,26262.6
901,1705078477-902,i4 eDrive 40 M Sport,SG,9443,2022,63900,9900.0,4950.0
902,1705078477-903,iX3,TG,8500,2021,46900,48000.0,16000.0
903,1705078477-904,X6 xDrive 40d Steptronic,ZH,6340,2015,26900,188000.0,20888.89
904,1705078477-905,225xe iPerformance Active Tourer Steptronic,Plug-in,2105,2018,21900,67000.0,11166.67
905,1705078477-906,330i xDrive Steptronic M Sport,ZH,8305,2020,39900,52200.0,13050.0
906,1705078477-907,M340i xDrive Steptronic,TG,9548,2021,45800,82000.0,27333.33
907,1705078477-908,M2 Competition,AG,5702,2020,58900,15499.0,3874.75
908,1705078477-909,116i Steptronic,TI,6963,2014,13500,76754.0,7675.4
909,1705078477-910,750Li xDrive Steptronic,ZH,8055,2016,47000,78000.0,9750.0
910,1705078483-911,X4 xDrive 20i xLine Steptronic,VD,1020,2021,41000,92000.0,30666.67
911,1705078483-912,X3 xDrive 30d Individual Steptronic,TG,8500,2019,34900,105000.0,21000.0
912,1705078483-913,i8 Coupé,TI,6595,2015,69900,78500.0,8722.22
913,1705078483-914,X1 xDrive 20d M Sport Steptronic,ZH,8404,2022,44900,25999.0,12999.5
914,1705078483-915,X5 xDrive 30d Steptronic,FR,1723,2014,27980,169700.0,16970.0
915,1705078483-916,X1 xDrive 25i M Sport Steptronic,TG,8570,2020,35970,54000.0,13500.0
916,1705078483-917,X4 M 40i Steptronic,SZ,8807,2018,40500,99780.0,16630.0
917,1705078483-918,X4 M 40i Steptronic,ZH,8112,2016,28900,122900.0,15362.5
918,1705078483-919,X5 xDrive M50d Steptronic,ZH,8112,2017,33900,151900.0,21700.0
919,1705078483-920,X1 xDrive 20d M Sport Steptronic,ZH,8112,2019,28900,50900.0,10180.0
920,1705078487-921,330xd Touring,VD,1030,2007,2900,250000.0,14705.88
921,1705078487-922,316 ti Compact,VS,3960,2003,4500,143700.0,6842.86
922,1705078487-923,435i Coupé xDrive M Sport Steptronic,SG,7320,2015,22999,163000.0,18111.11
923,1705078487-924,530xd Steptronic,SH,8200,2009,6980,260000.0,17333.33
924,1705078487-925,520d Touring Steptronic,BE,2558,2012,6999,319000.0,26583.33
925,1705078487-926,X6 xDrive 40d Steptronic,TG,8587,2016,48500,96530.0,12066.25
926,1705078487-927,420i Cabriolet Luxury Line Steptronic,BE,3177,2018,33900,12000.0,2000.0
927,1705078487-928,Z4 M40i Steptronic,VD,1267,2020,48000,50000.0,12500.0
928,1705078487-929,M135i xDrive Steptronic,TG,8500,2012,24600,79900.0,6658.33
929,1705078487-930,420i Coupé xDrive Luxury Line Steptronic,ZH,8700,2013,20270,96000.0,8727.27
930,1705078492-931,X3 xDrive 20d,FR,3280,2015,21500,88000.0,9777.78
932,1705078492-933,X1 xDrive 30e,AR,9100,2023,57650,6500.0,6500.0
933,1705078492-934,650i,AG,5033,2005,10900,171000.0,9000.0
934,1705078492-935,iX3,TI,6500,2021,48500,37600.0,12533.33
935,1705078492-936,116i Sport Line Steptronic,ZH,8427,2012,11900,84700.0,7058.33
936,1705078492-937,X3 xDrive 35i Steptronic,SG,9450,2014,23900,120000.0,12000.0
937,1705078492-938,135i Cabrio,SG,9475,2008,12600,168900.0,10556.25
938,1705078492-939,120d,BL,4410,2007,3500,190700.0,11217.65
939,1705078492-940,M140i xDrive Steptronic,ZH,8542,2017,34900,55300.0,7900.0
940,1705078498-941,730d xDrive Steptronic,SO,4656,2017,39990,94500.0,13500.0
941,1705078498-942,320d xDrive Touring Steptronic,ZH,8050,2009,6900,238800.0,15920.0
942,1705078498-943,X5 xDrive 40i Steptronic,JU,2800,2019,55990,47515.0,9503.0
943,1705078498-944,i3s (120Ah) Fleet Edition,ZH,8404,2021,31900,13999.0,4666.33
944,1705078498-945,530i xDrive 48V Luxury Line Steptronic,ZH,8604,2023,42990,24666.0,24666.0
945,1705078498-946,320i Steptronic,ZH,8604,2020,29980,31567.0,7891.75
946,1705078498-947,X2 xDrive 18d Steptronic,FR,1723,2019,19980,151345.0,30269.0
947,1705078498-948,X1 xDrive 18d Steptronic,BE,3852,2020,26500,76100.0,19025.0
948,1705078498-949,iX xDrive50,TG,8500,2022,92900,24000.0,12000.0
949,1705078498-950,X1 sDrive 18i xLine,ZH,8048,2019,20800,61300.0,12260.0
950,1705078503-951,iX xDrive40 Launch Edition,SG,9443,2021,68900,32000.0,10666.67
951,1705078503-952,X6M Steptronic,LU,6020,2016,43900,163000.0,20375.0
952,1705078503-953,X2 M35i Steptronic,AG,5417,2021,44900,32000.0,10666.67
953,1705078503-954,M550d xDrive Touring Steptronic,FR,3185,2012,22950,130000.0,10833.33
954,1705078503-955,130i Steptronic,SO,4226,2010,10500,165680.0,11834.29
955,1705078503-956,330xd Touring,SG,7320,2006,6800,212000.0,11777.78
956,1705078503-957,320d xDrive Touring Sport Line Steptronic,ZH,8543,2016,19999,137000.0,17125.0
957,1705078503-958,Z4 sDrive30i,ZH,8153,2009,8999,221000.0,14733.33
958,1705078503-959,320d,GE,1219,2011,9900,157000.0,12076.92
959,1705078503-960,116i,BE,3250,2008,5900,173000.0,10812.5
964,1705078510-965,320d xDrive Touring Steptronic,ZH,8305,2019,25900,118100.0,23620.0
966,1705078510-967,120d xDrive Steptronic M Sport,AG,5417,2023,39900,27000.0,27000.0
967,1705078510-968,320d xDrive Touring Steptronic,ZH,8305,2019,27500,80900.0,16180.0
969,1705078510-970,X1 xDrive 23i 48V,ZH,6340,2023,49900,23900.0,23900.0
970,1705078520-971,M140i xDrive Steptronic,BE,3176,2019,37900,54500.0,10900.0
971,1705078520-972,X5 xDrive M50d Steptronic,LU,6010,2020,67900,65500.0,16375.0
972,1705078520-973,M3,SG,9430,1989,119000,146000.0,4171.43
973,1705078520-974,125i Cabrio Steptronic,ZG,6312,2010,14800,100400.0,7171.43
974,1705078520-975,M135i xDrive Steptronic,TG,8500,2021,42900,61000.0,20333.33
977,1705078520-978,118i,SG,9016,2020,26900,18000.0,4500.0
978,1705078520-979,120d xDrive Steptronic Sport Line,ZH,8032,2023,36800,19000.0,19000.0
979,1705078520-980,X5M Competition Steptronic Competition,AG,5317,2021,300000,25000.0,8333.33
980,1705078526-981,325i xDrive Coupé,LU,6016,2009,8500,136000.0,9066.67
981,1705078526-982,X6 M50d Steptronic,LU,6026,2015,39900,104267.0,11585.22
982,1705078526-983,X5 xDrive45e M Sport Steptronic,VD,1267,2020,63000,70000.0,17500.0
983,1705078526-984,X5 xDrive 40d Steptronic,ZH,8635,2016,45900,86000.0,10750.0
984,1705078526-985,X1 xDrive 23d 48V M Sport,ZH,8153,2023,58900,14706.0,14706.0
985,1705078526-986,520d Touring Steptronic,ZH,8548,2010,12000,182200.0,13014.29
986,1705078526-987,535i xDrive Touring Steptronic,GE,1242,2012,12500,173200.0,14433.33
987,1705078526-988,330i xDrive Steptronic M Sport,ZH,8154,2020,42888,44000.0,11000.0
988,1705078526-989,X3 xDrive 30d Steptronic,BL,4450,2013,11600,142200.0,12927.27
989,1705078526-990,X3 M40d 48V Steptronic Individual,ZH,8152,2021,65800,34000.0,11333.33
